"","Word","Strength"
"1","im",0.0164853190296193
"2","th",0.0298521943263744
"3","us",0.0407949124689838
"4","sp",0.0484897435910238
"5","ll",0.0123886910876198
"6","go",0.0205825627867101
"7","ii",0.0287902156961676
"8","q",0.0269151514219426
"9","dr",0.0145647530171448
"10","ma",0.0179534224698054
"11","re",0.0108998387210364
"12","pt",0.0327417919705043
"13","hr",0.015057963084739
"14","s",-0.0143657888570038
"15","d",0.0274268907685383
"16","wk",-0.0367298316510297
"17","ph",0.0708861891093135
"18","es",0.0106232553585678
"19","k",0.0622677345849691
"20","bc",-0.0143219762792058
"21","td",-0.00933486165382136
"22","r",-0.0116619737461406
"23","ty",-0.037991737917034
"24","pe",-0.0407598763422792
"25","n",0.00465315181289835
"26","b",0.00822223040311206
"27","mm",0.014449943471279
"28","eh",-0.00695463679153033
"29","bs",-0.0331069904276316
"30","w",0.0284185955909363
"31","st",0.00123567852941882
"32","ah",0.0531489477762333
"33","ve",0.00720301461689905
"34","ca",0.0387588633569178
"35","er",0.0366122857257322
"36","pm",0.040310235895084
"37","gl",0.0214880424828279
"38","ok",0.0329563438283429
"39","gf",0.061303195489501
"40","u",-0.00856325384534644
"41","ea",0.00633623656169976
"42","af",0.0316305886668814
"43","nd",0.0401294766708387
"44","ur",0.0113301359709862
"45","uk",-0.00858884680309319
"46","rs",-0.0454549156492362
"47","ed",0.032645305526025
"48","bo",0.0598532083074915
"49","p",-0.0303636850679484
"50","hi",-0.0152623446804028
"51","lo",0.0191793706064362
"52","pr",0.0718294963243081
"53","ay",0.0308212248476411
"54","rd",0.00308304331075809
"55","m",0.043085357377998
"56","oh",-0.0206007584080007
"57","y",0.0063250933231096
"58","j",0.00630403788536944
"59","vs",0.0313986419076007
"60","ke",0.0301550992571248
"61","t",0.0200298029067584
"62","mr",0.00891636111803578
"63","e",0.0207092979997244
"64","ar",0.024184839280444
"65","f",-0.0313706071241751
"66","al",-0.0077968917486982
"67","ng",0.00494115038411295
"68","o",0.0231459490417364
"69","di",0.018753563450984
