"","Word","Strength"
"1","im",0.139969957671633
"2","th",0.247060819574219
"3","us",0.27773065616502
"4","sp",0.428195563079203
"5","ll",0.0395209456632767
"6","go",0.125610546028491
"7","ii",0.388471781681031
"8","q",0.213911265446572
"9","dr",0.170763930875046
"10","ma",0.163813061176422
"11","re",0.0984381680672552
"12","pt",0.276845290138016
"13","hr",0.152354350780933
"14","s",0.00428310615016437
"15","d",0.212244741584703
"16","mm",0.196759355938768
"17","wk",-0.402909754545966
"18","ph",0.779666109643992
"19","es",0.129851836903973
"20","k",0.412226091202185
"21","bc",-0.161593830057709
"22","td",-0.0909203919329824
"23","r",-0.0999466002951013
"24","ty",-0.380543299969923
"25","pe",-0.410830191253642
"26","n",0.0799037864880866
"27","b",0.0628945679443052
"28","eh",-0.159968385888279
"29","bs",-0.330842794765344
"30","w",0.263942544550143
"31","st",0.0156811590372364
"32","ah",0.446483296622913
"33","ve",0.0932856325788783
"34","ca",0.342122497298538
"35","er",0.268833870439387
"36","pm",0.34666796393002
"37","gl",0.205393939396991
"38","ok",0.306617445016963
"39","gf",0.755762160799075
"40","u",-0.0615562332949108
"41","ea",0.0554745841877563
"42","af",0.331747656746822
"43","nd",0.403101706622856
"44","ur",0.113507458236311
"45","uk",-0.135900878652374
"46","rs",-0.435049442745699
"47","ed",0.281047436887889
"48","bo",0.654327267030146
"49","p",-0.271296300445678
"50","hi",-0.188660705121624
"51","lo",0.191786319432917
"52","pr",0.651247843801358
"53","ay",0.424347486939478
"54","rd",0.0381044928841223
"55","m",0.335030676323454
"56","y",0.0745212934204911
"57","j",0.104021506321562
"58","vs",0.324275331479052
"59","oh",-0.169081823396897
"60","ke",0.375180420370144
"61","t",0.167427688452194
"62","mr",0.123156808903735
"63","e",0.171142546779843
"64","ar",0.320251666579199
"65","f",-0.227479485759977
"66","al",-0.0480809262012736
"67","o",0.188292443617623
"68","di",0.286591881455222
"69","rn",-0.139397111654473
"70","bb",0
"71","ha",0.00853660723080806
"72","fo",0.239326581543675
"73","id",0.286591881455222
"74","mg",0.226840277088395
"75","nt",0.398547266343845
"76","bk",-0.494515788565042
"77","qe",-0.813135714927924
"78","bn",-0.212945566951371
"79","mw",0.483117357207588
"80","iq",0.266551925409992
"81","yr",-0.215848422576825
"82","c",0.305834812063874
"83","fr",-0.239326581543676
"84","eu",-0.066155448074945
"85","sq",0.416401539642601
"86","gs",-0.262664371048556
"87","lk",0.978947221100424
"88","gd",0.995390025388192
"89","ng",0.0468048959256429
"90","v",0.130159202017536
"91","os",0.0670778851940184
"92","rt",-0.175500364396567
"93","fb",0.0431880072356649
"94","ls",0.471679166426281
"95","wl",0.709872283748403
"96","bt",0.92471434200556
"97","ya",-0.2359680722949
"98","nw",0.806843143067583
"99","yo",-0.00968244436366909
"100","mu",-0.411637032993062
"101","h",-0.164670198830608
"102","rh",0.58008572613508
"103","ab",-0.436693290121009
"104","li",0.49605299952805
"105","mi",0.540548186328874
"106","oo",0.148977264785624
"107","l",-0.0774731574483896
"108","xd",-0.560888457269032
"109","sh",-0.0167103796847348
"110","ra",0.286591881455222
"111","em",0.228544036947192
"112","ms",0.120085147057567
"113","rr",-0.159968385888277
"114","cc",0.503848161495402
"115","lt",0.225897171789092
"116","jd",0.698194531257019
"117","fc",0.995390025388192
"118","et",0.102531812131654
"119","tv",-0.29724922870662
"120","co",0.0218581793568524
"121","pb",0.375180420370144
"122","g",0.243058990153948
"123","jv",0.709872283748403
"124","cr",0.120085147057567
"125","de",0.0877619314599841
"126","ws",0.0618108495421482
"127","ou",0.56088845726903
"128","ee",0.582739951651708
"129","mj",0.382317114310774
"130","sd",0
"131","se",0.406447489308113
"132","js",0.618704213881049
"133","dd",0.483568057192694
"134","un",-0.153187713509068
"135","mf",0.300534966822303
"136","dy",0.787979469620629
"137","mc",0.471679166426282
"138","ex",0.356844121534169
"139","ly",0.0786534008446794
"140","gt",0.574117204235316
"141","da",0.130972991932075
"142","fk",0.17270610137888
"143","ep",0.59822510118057
"144","ba",-0.408714972609362
"145","jj",0.59822510118057
"146","mo",0.157479020917516
"147","wh",-0.380058339518323
"148","op",0.187641283425632
"149","si",-0.120085147057567
"150","en",0.235787576462378
"151","ts",0.435286930780954
"152","bu",0.329926182395378
"153","dt",-0.22107124063666
"154","cd",-0.0686737825408516
"155","hs",0.329926182395378
"156","tx",0.471679166426282
"157","sv",-0.286591881455222
"158","mb",0.471679166426281
"159","lv",-0.159968385888277
"160","sm",0.560888457269032
"161","md",0.735485801517116
"162","jp",-0.0655544516746075
"163","ge",-0.18238470560506
"164","iv",-0.0848154218664983
"165","bw",0.0576924054962225
